Type,Onset,Duration,DurationCorrected
Opto1,171123.750,225.000,205.000
TTLin1,171599.000,5.250,5.250
Opto1,171623.500,225.000,205.000
TTLin1,172099.000,5.000,5.000
Opto1,172123.250,224.750,204.750
TTLin1,172598.500,5.250,5.250
Opto1,172622.750,225.000,205.000
TTLin1,173098.750,5.250,5.250
Opto1,173122.500,224.750,204.750
TTLin1,173598.500,5.250,5.250
Opto1,173622.500,224.500,204.500
TTLin1,174098.250,5.000,5.000
Opto1,174122.000,224.750,204.750
TTLin1,174613.000,5.000,5.000
Opto1,174638.500,224.750,204.750
TTLin1,175113.000,5.000,5.000
Opto1,175138.000,224.750,204.750
TTLin1,175613.000,5.250,5.250
Opto1,175638.000,224.750,204.750
TTLin1,176125.500,5.250,5.250
Opto1,176154.250,224.750,204.750
TTLin1,176625.250,5.250,5.250
Opto1,176654.000,224.750,204.750
TTLin1,177125.000,5.250,5.250
Opto1,177153.750,224.750,204.750
TTLin1,177626.250,5.250,5.250
Opto1,177653.250,225.000,205.000
TTLin1,178126.250,5.250,5.250
Opto1,178153.000,225.000,205.000
TTLin1,178626.750,5.250,5.250
Opto1,178652.750,224.750,204.750
TTLin1,179126.750,5.250,5.250
Opto1,179152.500,224.750,204.750
TTLin1,179626.500,5.250,5.250
Opto1,179652.250,224.750,204.750
TTLin1,180126.500,5.250,5.250
Opto1,180152.000,224.750,204.750
TTLin1,180626.750,5.250,5.250
Opto1,180651.500,225.000,205.000
TTLin1,181126.500,5.000,5.000
Opto1,181151.250,225.000,205.000
TTLin1,181629.000,5.250,5.250
Opto1,181651.000,225.000,205.000
TTLin1,182128.750,5.250,5.250
Opto1,182150.750,224.750,204.750
TTLin1,182628.500,5.000,5.000
Opto1,182650.250,225.000,205.000
TTLin1,183128.250,5.000,5.000
Opto1,183150.250,224.750,204.750
TTLin1,183628.000,5.000,5.000
Opto1,183650.000,224.750,204.750
TTLin1,184127.500,5.250,5.250
Opto1,184149.500,224.750,204.750
TTLin1,184627.250,5.000,5.000
Opto1,184649.500,224.750,204.750
TTLin1,185127.000,5.250,5.250
Opto1,185149.000,224.750,204.750
TTLin1,185626.750,5.000,5.000
Opto1,185648.750,224.750,204.750
TTLin1,186126.250,5.250,5.250
Opto1,186148.500,224.750,204.750
TTLin1,186656.750,5.250,5.250
Opto1,186681.500,224.750,204.750
TTLin1,187156.750,5.250,5.250
Opto1,187181.250,224.750,204.750
TTLin1,187656.750,5.000,5.000
